# Train        Test        
    0.138917     0.817300 
    0.893150     0.934700 
    0.930283     0.936200 
    0.940483     0.946200 
    0.945867     0.947400 
    0.949983     0.947300 
    0.953400     0.949700 
    0.955000     0.949000 
    0.957717     0.951400 
    0.959050     0.953900 
    0.959950     0.958100 
    0.960550     0.947400 
    0.962067     0.951900 
    0.962600     0.956500 
    0.963700     0.959800 
    0.964083     0.959500 
    0.965200     0.958400 
    0.965533     0.959400 
    0.967300     0.956500 
    0.965667     0.955000 
    0.966750     0.952600 
    0.967300     0.955200 
    0.968317     0.955600 
    0.969117     0.954500 
    0.969283     0.954800 
    0.970600     0.956900 
    0.970250     0.956100 
    0.970583     0.952900 
    0.971583     0.957000 
    0.973900     0.956800 
