# Train        Test        
    1.507051     0.476418 
    0.336706     0.248317 
    0.283074     0.252324 
    0.268098     0.251998 
    0.260831     0.234573 
    0.250066     0.264195 
    0.247797     0.226277 
    0.246783     0.217010 
    0.242384     0.278110 
    0.239416     0.191940 
    0.238555     0.201321 
    0.238887     0.271952 
    0.239598     0.225376 
    0.241272     0.202700 
    0.236913     0.201511 
    0.233203     0.221987 
    0.233239     0.219600 
    0.234739     0.210740 
    0.231070     0.231726 
    0.235757     0.221213 
    0.231595     0.213485 
    0.235396     0.223560 
    0.232426     0.285123 
    0.230806     0.211140 
    0.229797     0.207862 
    0.229465     0.232747 
    0.225872     0.201720 
    0.221463     0.415672 
    0.222818     0.210507 
    0.217567     0.207165 
